0,1
"What is three hundred and sixty-seven trillion, eight hundred and twenty-nine billion, thirty-five million, three hundred and forty-two thousand, five hundred and forty-nine plus five hundred and fifty-four trillion, three hundred and seventy-two billion, one hundred and sixty-nine million, nine hundred and thirty-seven thousand, two hundred and twenty-four?","nine hundred and twenty-two trillion, two hundred and one billion, two hundred and five million, two hundred and seventy-nine thousand, seven hundred and seventy-three"
What is one hundred and thirty-seven plus one hundred and seventeen?,two hundred and fifty-four
"What is six million, three hundred and fifty-six thousand, three hundred and ninety-seven plus eight million, nine hundred and fifty-two thousand, five hundred and six?","fifteen million, three hundred and eight thousand, nine hundred and three"
"What is three hundred and sixty-four billion, three hundred and fifty-eight million, six hundred and eighty-three thousand, six hundred and eighteen plus two hundred and seventy billion, three hundred and seventeen million, two hundred and fifty-five thousand, seven hundred and sixty-eight?","six hundred and thirty-four billion, six hundred and seventy-five million, nine hundred and thirty-nine thousand, three hundred and eighty-six"
"What is forty-one trillion, five hundred and forty-six billion, eight hundred and seventy-four million, five hundred and forty-four thousand, four hundred and sixty-two plus ninety-four trillion, one hundred and eighty-seven billion, six million, two hundred and ninety-five thousand, seven hundred and thirty-two?","one hundred and thirty-five trillion, seven hundred and thirty-three billion, eight hundred and eighty million, eight hundred and forty thousand, one hundred and ninety-four"
"What is five hundred and ninety-six billion, seven hundred and seventy-seven million, eight hundred and eleven thousand, four hundred and nineteen plus one hundred and sixty-seven billion, six hundred and sixty-two million, eight hundred and fourteen thousand, seven hundred and ten?","seven hundred and sixty-four billion, four hundred and forty million, six hundred and twenty-six thousand, one hundred and twenty-nine"
"What is twenty-two thousand, six hundred and twenty-two plus eighty-five thousand, three hundred?","one hundred and seven thousand, nine hundred and twenty-two"
"What is seven thousand and eighty-two plus three thousand, six hundred and sixty-four?","ten thousand, seven hundred and forty-six"
"What is eighty-six million, three hundred and two thousand, six hundred and twenty-six plus fifty-two million, two hundred and forty-six thousand, eight hundred and thirty?","one hundred and thirty-eight million, five hundred and forty-nine thousand, four hundred and fifty-six"
What is three hundred and eighty-six plus one hundred and fifty-six?,five hundred and forty-two
"What is one hundred and twenty-one million, five hundred and eighty-six thousand, one hundred and thirty-six plus six hundred and fourteen million, eight hundred and eighty-three thousand, four hundred and twenty-six?","seven hundred and thirty-six million, four hundred and sixty-nine thousand, five hundred and sixty-two"
"What is nine hundred and sixty-five trillion, forty-one billion, four hundred and ninety million, one hundred and fifty-seven thousand, four hundred and twenty-five plus seven hundred and eighty-seven trillion, seven hundred and fifty-seven billion, four hundred and sixty-nine million, nine hundred and forty-five thousand, seven hundred and forty?","one quadrillion, seven hundred and fifty-two trillion, seven hundred and ninety-eight billion, nine hundred and sixty million, one hundred and three thousand, one hundred and sixty-five"
"What is sixty-two million, six hundred and fourteen thousand, six hundred and ninety-nine plus eighty-three million, nine hundred and twenty-nine thousand, one hundred and forty-eight?","one hundred and forty-six million, five hundred and forty-three thousand, eight hundred and forty-seven"
"What is one thousand, six hundred and ninety-five plus four thousand, eight hundred and forty-two?","six thousand, five hundred and thirty-seven"
"What is five hundred and fifty-one thousand, eight hundred and nine plus seven hundred and twenty thousand, nine hundred and sixty?","one million, two hundred and seventy-two thousand, seven hundred and sixty-nine"
What is seven hundred and fifty-nine plus seven hundred and ninety-nine?,"one thousand, five hundred and fifty-eight"
"What is fifty-one trillion, eight hundred and fifty-two billion, five hundred and sixty-seven million, one hundred and seventy-four thousand and forty-two plus twenty-seven trillion, fifty-five billion, two hundred and fifty-three million, nine hundred thousand, six hundred and twelve?","seventy-eight trillion, nine hundred and seven billion, eight hundred and twenty-one million, seventy-four thousand, six hundred and fifty-four"
"What is four hundred and ninety-two million, four hundred and fifty-three thousand, seven hundred and seventy-one plus seven hundred and twenty-three million, two hundred and nine thousand, seven hundred and seventy-two?","one billion, two hundred and fifteen million, six hundred and sixty-three thousand, five hundred and forty-three"
"What is four hundred and eighty-seven billion, six hundred and twenty million, ninety-four thousand, three hundred and nine plus four hundred and eighty-two billion, seven hundred and eighty million, six hundred and thirteen thousand, six hundred and twenty-four?","nine hundred and seventy billion, four hundred million, seven hundred and seven thousand, nine hundred and thirty-three"
"What is eight hundred and thirteen thousand, five hundred and eighty-seven plus five hundred and sixty-two thousand, six hundred and eighty-one?","one million, three hundred and seventy-six thousand, two hundred and sixty-eight"
What is fifteen plus fifteen?,thirty
"What is twenty-three billion, seven hundred and forty million, four thousand, four hundred and eighty-seven plus thirty-seven billion, five hundred and forty-one million, six hundred and seventy-two thousand, four hundred and eighty-three?","sixty-one billion, two hundred and eighty-one million, six hundred and seventy-six thousand, nine hundred and seventy"
What is forty-eight plus ninety-six?,one hundred and forty-four
"What is nine thousand, six hundred and thirty-eight plus two thousand, two hundred and thirty-nine?","eleven thousand, eight hundred and seventy-seven"
"What is nine billion, five hundred and twenty-five million, four hundred and fifteen thousand, seven hundred and forty-eight plus one billion, nine hundred and ninety-eight million, three hundred and five thousand, eight hundred and forty-four?","eleven billion, five hundred and twenty-three million, seven hundred and twenty-one thousand, five hundred and ninety-two"
"What is four million, six hundred and sixty-six thousand, two hundred and nine plus four million, seven hundred and fifteen thousand, two hundred and fifty-two?","nine million, three hundred and eighty-one thousand, four hundred and sixty-one"
What is eight hundred and sixty-seven plus eight hundred and sixty-four?,"one thousand, seven hundred and thirty-one"
"What is eight million, three hundred and seventy-four thousand and eighty-eight plus two million, three hundred and eleven thousand, four hundred and eighty-three?","ten million, six hundred and eighty-five thousand, five hundred and seventy-one"
"What is seven million, two hundred and sixteen thousand, two hundred and fifty-six plus four million, five hundred and ninety-three thousand and fifteen?","eleven million, eight hundred and nine thousand, two hundred and seventy-one"
"What is seven hundred and ninety-five thousand, five hundred and twenty-five plus two hundred and ninety-four thousand, one hundred and sixteen?","one million, eighty-nine thousand, six hundred and forty-one"
"What is two thousand, eight hundred and twenty-four plus five thousand, two hundred and thirty-nine?",eight thousand and sixty-three
"What is five hundred and sixty-four thousand, seven hundred and ninety-one plus nine hundred and fifty thousand, five hundred and twenty-nine?","one million, five hundred and fifteen thousand, three hundred and twenty"
"What is twenty-eight billion, eight million, six hundred and sixty-one thousand, five hundred and thirty-eight plus fifteen billion, one hundred and fifty-nine million, three hundred and eighty-eight thousand, seven hundred and seventy-three?","forty-three billion, one hundred and sixty-eight million, fifty thousand, three hundred and eleven"
"What is one hundred and forty-six thousand, six hundred and twenty-one plus nine hundred and twenty-six thousand, four hundred and forty-three?","one million, seventy-three thousand and sixty-four"
"What is twenty-six trillion, seven hundred and ninety-eight billion, one hundred and twenty-three million, one hundred and ninety-nine thousand, one hundred and forty-eight plus seventy-four trillion, nine hundred and sixty-seven billion, three hundred and ten million, seven hundred and ninety-six thousand, six hundred and thirty-nine?","one hundred and one trillion, seven hundred and sixty-five billion, four hundred and thirty-three million, nine hundred and ninety-five thousand, seven hundred and eighty-seven"
"What is six hundred and thirty-nine billion, two hundred and twenty-three million, three hundred and twenty-three thousand, five hundred and eighty plus four hundred and eighty-four billion, five hundred and seventy-nine million, forty-two thousand, nine hundred and eighteen?","one trillion, one hundred and twenty-three billion, eight hundred and two million, three hundred and sixty-six thousand, four hundred and ninety-eight"
"What is thirty-one trillion, five hundred and fifty-seven billion, three hundred and fifty-three million, two hundred and ten thousand, six hundred and eight plus twenty-seven trillion, seven hundred and eight billion, three hundred and seventy-nine million, eight hundred and eighty-eight thousand, three hundred and sixty-seven?","fifty-nine trillion, two hundred and sixty-five billion, seven hundred and thirty-three million, ninety-eight thousand, nine hundred and seventy-five"
"What is fifty-four thousand and sixty-six plus ninety-three thousand, six hundred and sixty?","one hundred and forty-seven thousand, seven hundred and twenty-six"
"What is eighty-eight trillion, five hundred and ninety-three billion, nine hundred and ninety-five million, eight hundred and ten thousand, eight hundred and seventeen plus twenty-one trillion, fifty-seven billion, eight hundred and forty-two million, five hundred and twenty-four thousand, two hundred and seventy-six?","one hundred and nine trillion, six hundred and fifty-one billion, eight hundred and thirty-eight million, three hundred and thirty-five thousand and ninety-three"
"What is one hundred and three trillion, forty-eight billion, five hundred and forty-one million, three hundred and seventeen thousand, seven hundred and sixty-nine plus eight hundred and six trillion, nine hundred and ninety-four billion, two hundred and ninety-six million, one hundred and twenty-two thousand, two hundred and twelve?","nine hundred and ten trillion, forty-two billion, eight hundred and thirty-seven million, four hundred and thirty-nine thousand, nine hundred and eighty-one"
"What is four hundred and forty-six trillion, six hundred and sixty-two billion, seven hundred and sixty million, five hundred and seventy-four thousand, three hundred and fifty-five plus five hundred and thirty-eight trillion, four hundred and seventy-two billion, three hundred and ninety-two million, seven hundred and forty thousand, three hundred and thirty-seven?","nine hundred and eighty-five trillion, one hundred and thirty-five billion, one hundred and fifty-three million, three hundred and fourteen thousand, six hundred and ninety-two"
"What is ninety-nine billion, nine hundred and forty-seven million, five hundred and four thousand and seventy-two plus eighty billion, ninety-five million, nine hundred and forty-two thousand, nine hundred and twelve?","one hundred and eighty billion, forty-three million, four hundred and forty-six thousand, nine hundred and eighty-four"
"What is seven thousand, eight hundred and twenty-nine plus seven thousand, six hundred and twenty-six?","fifteen thousand, four hundred and fifty-five"
